family,genus,species,subspecies,chromostome_number_2n,ploidy_level_x,dna_amount_1c_pg,c_value_reference,c_value_note
Acoraceae,Acorus,Acorus calamus,NA,36,4,0.54,smarda_ecological_2014,
Adoxaceae,Viburnum,Viburnum lantana,NA,18,2,4.09,pustahija_small_2013,
Altingiaceae,Liquidambar,Liquidambar styraciflua,NA,NA,NA,NA,NA,
Amaranthaceae,Beta,Beta vulgaris,NA,NA,NA,0.92,barow_endopolyploidy_2003,
Amaranthaceae,Chenopodium,Chenopodium album,NA,18,2,0.77,ohri_unpublished_2002,Ohri personal comunication; I used the 2X ploidy
Amaranthaceae,Kochia,Kochia prostrata,NA,NA,NA,NA,NA,
Amaranthaceae,Noaea,Noaea mucronata,NA,NA,NA,NA,NA,
Amaranthaceae,Spinacia,Spinacia oleracea,cv. Greenmarket,12,2,1,barlow_1981,Barlow personal communication
Amaryllidaceae,Allium,Allium atroviolaceum,NA,NA,NA,NA,NA,
Amaryllidaceae,Allium,Allium polyrhizum,NA,NA,NA,NA,NA,
Amaryllidaceae,Allium,Allium rubellum,NA,NA,NA,NA,NA,
Anacardiaceae,Cotinus,Cotinus coggygria,NA,30,NA,0.33,pustahija_small_2013,
Anacardiaceae,Pistacia,Pistacia atlantica,NA,NA,NA,NA,NA,
Anacardiaceae,Pistacia,Pistacia chinensis,NA,NA,NA,NA,NA,
Anacardiaceae,Rhus,Rhus coriaria,NA,NA,NA,NA,NA,
Anacardiaceae,Rhus,Rhus lancea,NA,NA,NA,NA,NA,
Anacardiaceae,Schinus,Schinus molle,NA,NA,NA,NA,NA,
Apiaceae,Albovia,Albovia tripartita,NA,NA,NA,NA,NA,
Apiaceae,Bupleurum,Bupleurum falcatum,NA,16,2,2.9,das_karyotype_1993,
Apiaceae,Bupleurum,Bupleurum gerardii,NA,NA,NA,NA,NA,
Apiaceae,Carum,Carum carvi,cv. KBI 1434,20,2,4.8,das_genome_1991,
Apiaceae,Caucalis,Caucalis platycarpos,NA,NA,NA,NA,NA,
Apiaceae,Centella,Centella asiatica,NA,NA,NA,NA,NA,
Apiaceae,Chaerophyllum,Chaerophyllum aureum,NA,NA,NA,NA,NA,
Apiaceae,Cymbocarpum,Cymbocarpum anethoides,NA,NA,NA,NA,NA,
Apiaceae,Daucus,Daucus broteri,NA,20,2,1.11,nowicka_nuclear_2016,
Apiaceae,Eryngium,Eryngium caucasicum,NA,NA,NA,NA,NA,
Apiaceae,Falcaria,Falcaria vulgaris,NA,NA,NA,NA,NA,
Apiaceae,Heracleum,Heracleum pastinacifolium,NA,NA,NA,NA,NA,
Apiaceae,Heracleum,Heracleum persicum,NA,NA,NA,NA,NA,
Apiaceae,Laser,Laser trilobum,NA,NA,NA,NA,NA,
Apiaceae,Peucedanum,Peucedanum caucasicum,NA,NA,NA,NA,NA,
Apiaceae,Pimpinella,Pimpinella aurea,NA,NA,NA,NA,NA,
Apiaceae,Pimpinella,Pimpinella tragium,NA,NA,NA,NA,NA,
Apiaceae,Prangos,Prangos ferulacea,NA,NA,NA,NA,NA,
Apiaceae,Sanicula,Sanicula europaea,NA,16,2,1.22,pustahija_small_2013,
Apiaceae,Saposhnikovia,Saposhnikovia divaricata,NA,NA,NA,NA,NA,
Apiaceae,Seseli,Seseli peucedanoides,NA,NA,NA,NA,NA,
Apiaceae,Trinia,Trinia leiogona,NA,NA,NA,NA,NA,
Apocynaceae,Allamanda,Allamanda cathartica,NA,NA,NA,NA,NA,
Apocynaceae,Carissa,Carissa spinarum,NA,NA,NA,NA,NA,
Apocynaceae,Cascabela,Cascabela thevetia,NA,NA,NA,NA,NA,
Apocynaceae,Catharanthus,Catharanthus pusillus,NA,NA,NA,NA,NA,
Apocynaceae,Catharanthus,Catharanthus roseus,NA,NA,NA,2.4,galbraith_rapid_1983,
Apocynaceae,Cynanchum,Cynanchum mongolicum,NA,NA,NA,NA,NA,
Apocynaceae,Ervatamia,Ervatamia divaricata,NA,NA,NA,NA,NA,
Apocynaceae,Plumeria,Plumeria rubra,NA,NA,NA,NA,NA,
Apocynaceae,Rauvolfia,Rauvolfia tetraphylla,NA,NA,NA,NA,NA,
Apocynaceae,Vallaris,Vallaris solanacea,NA,NA,NA,NA,NA,
Apocynaceae,Wrightia,Wrightia tinctoria,NA,NA,NA,NA,NA,
Araliaceae,Hedera,Hedera helix,NA,48,4,1.5,konig_dna_1987,
Arecaceae,Archontophoenix,Archontophoenix cunninghamiana,NA,32,2,4.7,roser_nuclear_2014,
Arecaceae,Phoenix,Phoenix canariensis,NA,36,2,0.9,roser_nuclear_2014,
Arecaceae,Syagrus,Syagrus romanzoffiana,NA,32,2,3.1,roser_nuclear_2014,
Arecaceae,Washingtonia,Washingtonia robusta,NA,NA,NA,NA,NA,
Asparagaceae,Asparagus,Asparagus officinalis,NA,40,4,3.2,smarda_ecological_2014,
Asparagaceae,Bellevalia,Bellevalia fominii,NA,NA,NA,NA,NA,
Asparagaceae,Cordyline,Cordyline fruticosa,NA,38,2,0.69,smarda_ecological_2014,
Asparagaceae,Muscari,Muscari neglectum,NA,NA,NA,NA,NA,
Asparagaceae,Polygonatum,Polygonatum orientale,NA,NA,NA,NA,NA,
Asparagaceae,Scilla,Scilla mischtschenkoana,NA,12,2,21.6,greilhuber_evolutionary_1982,
Asphodelaceae,Asphodeline,Asphodeline dendroides,NA,NA,NA,NA,NA,
Asteraceae,Achillea,Achillea biebersteinii,NA,18,2,2.6,dabrowska_chromosome_1992,
Asteraceae,Achillea,Achillea millefolium,NA,54,6,7.7,dabrowska_chromosome_1992,
Asteraceae,Acmella,Acmella repens,NA,NA,NA,NA,NA,
Asteraceae,Acourtia,Acourtia cordata,NA,NA,NA,NA,NA,
Asteraceae,Adenostyles,Adenostyles glabra,NA,NA,NA,NA,NA,
Asteraceae,Ageratina,Ageratina cylindrica,NA,NA,NA,NA,NA,
Asteraceae,Ageratina,Ageratina pichinchensis,NA,NA,NA,NA,NA,
Asteraceae,Ambrosia,Ambrosia psilostachya,NA,NA,NA,NA,NA,
Asteraceae,Anthemis,Anthemis triumfettii,NA,NA,NA,NA,NA,
Asteraceae,Aposeris,Aposeris foetida,NA,NA,NA,NA,NA,
Asteraceae,Argyroxiphium,Argyroxiphium grayanum,NA,NA,NA,NA,NA,
Asteraceae,Artemisia,Artemisia absinthium,NA,18,2,4.71,pustahija_small_2013,
Asteraceae,Artemisia,Artemisia armeniaca,NA,NA,NA,NA,NA,
Asteraceae,Artemisia,Artemisia chamaemelifolia,NA,18,2,3.02,torrell_genome_2001,
Asteraceae,Artemisia,Artemisia fragrans,NA,18,2,2.68,torrell_genome_2001,
Asteraceae,Artemisia,Artemisia parviflora,NA,NA,NA,NA,NA,
Asteraceae,Artemisia,Artemisia scoparia,NA,16,2,1.77,garcia_variation_2004,
Asteraceae,Artemisia,Artemisia splendens,NA,32,4,6.8,torrell_genome_2001,
Asteraceae,Aster,Aster bellidiastrum,NA,18,NA,1.75,kubesova_naturalized_2010,
Asteraceae,Baccharis,Baccharis pteronioides,NA,NA,NA,NA,NA,
Asteraceae,Baccharis,Baccharis salicifolia,NA,NA,NA,NA,NA,
Asteraceae,Baccharis,Baccharis sordescens,NA,NA,NA,NA,NA,
Asteraceae,Barkleyanthus,Barkleyanthus salicifolius,NA,NA,NA,NA,NA,
Asteraceae,Bidens,Bidens bigelovii,NA,NA,NA,NA,NA,
Asteraceae,Bidens,Bidens odorata,NA,NA,NA,NA,NA,
Asteraceae,Bidens,Bidens pilosa,NA,NA,NA,1.7,bennett_unpublished_1997,"Unpublished values from the Jodrell Laboratory, Royal Botanic Gardens, Kew."
Asteraceae,Buphthalmum,Buphthalmum salicifolium,NA,20,2,2.49,temsch_heavy_2010,
Asteraceae,Calendula,Calendula,NA,NA,NA,NA,NA,
Asteraceae,Carduus,Carduus defloratus,NA,18,NA,0.98,garcia_variation_2004,
Asteraceae,Carduus,Carduus pycnocephalus,NA,NA,NA,4.3,maranon_physiological_1993,
Asteraceae,Carduus,Carduus seminudus,NA,NA,NA,NA,NA,
Asteraceae,Carduus,Carduus thoermeri,NA,NA,NA,NA,NA,
Asteraceae,Carthamus,Carthamus lanatus,NA,44,4,2.4,garnatje_genome_2006,
Asteraceae,Centaurea,Centaurea aziziana,NA,NA,NA,NA,NA,
Asteraceae,Centaurea,Centaurea jacea,NA,22,NA,2.05,garcia_new_2013,
Asteraceae,Centaurea,Centaurea macrocephala,NA,NA,NA,NA,NA,
Asteraceae,Centaurea,Centaurea montana,NA,22,2,1.38,siljak-yakovlev_towards_2010,
Asteraceae,Centaurea,Centaurea rhizantha,NA,NA,NA,NA,NA,
Asteraceae,Centaurea,Centaurea solstitialis,NA,16,2,0.87,bancheva_genome_2006,
Asteraceae,Centaurea,Centaurea sosnovskyi,NA,NA,NA,NA,NA,
Asteraceae,Centaurea,Centaurea zuvandica,NA,NA,NA,NA,NA,
Asteraceae,Chrysanthemum,Chrysanthemum frutescens,NA,NA,NA,NA,NA,
Asteraceae,Cineraria,Cineraria cruenta,NA,NA,NA,NA,NA,
Asteraceae,Cirsium,Cirsium echinus,NA,NA,NA,NA,NA,
Asteraceae,Cirsium,Cirsium osseticum,NA,NA,NA,NA,NA,
Asteraceae,Cirsium,Cirsium vulgare,NA,68,4,2.77,bures_genome_2004,
Asteraceae,Conyza,Conyza bonariensis,NA,18,NA,2.09,garcia_new_2013,
Asteraceae,Conyza,Conyza canadensis,NA,NA,2,0.45,kubesova_naturalized_2010,
Asteraceae,Conyza,Conyza coronopifolia,NA,NA,NA,NA,NA,
Asteraceae,Coreopsis,Coreopsis basalis,NA,NA,NA,NA,NA,
Asteraceae,Cosmos,Cosmos bipinnatus,NA,24,2,1.5,ohri_variation_1988,
Asteraceae,Cosmos,Cosmos parviflorus,NA,NA,NA,NA,NA,
Asteraceae,Cousinia,Cousinia belangeri,NA,NA,NA,NA,NA,
Asteraceae,Crepis,Crepis foetida,NA,10,2,2,brown_unpublished_1975,"Brown L,  Jones N (pers. comm. 1975)"
Asteraceae,Crepis,Crepis sancta,NA,10,2,2.09,dimitrova_karyotype_2000,
Asteraceae,Crupina,Crupina crupinastrum,NA,NA,NA,NA,NA,
Asteraceae,Dahlia,Dahlia coccinea,NA,32,4,2.17,temsch_genome_2008,used tetraploid
Asteraceae,Doronicum,Doronicum hyrcanum,NA,NA,NA,NA,NA,
Asteraceae,Dubautia,Dubautia ciliolata subsp. ciliolata,NA,NA,NA,NA,NA,
Asteraceae,Dubautia,Dubautia knudsenii subsp. knudsenii,NA,NA,NA,NA,NA,
Asteraceae,Dubautia,Dubautia scabra subsp. leiophylla,NA,NA,NA,NA,NA,
Asteraceae,Dubautia,Dubautia scabra subsp. scabra,NA,NA,NA,NA,NA,
Asteraceae,Dyssodia,Dyssodia papposa,NA,NA,NA,NA,NA,
Asteraceae,Erigeron,Erigeron acer,NA,18,NA,1.38,garcia_new_2013,
Asteraceae,Erigeron,Erigeron canadensis,NA,NA,NA,NA,NA,
Asteraceae,Filago,Filago pyramidata,NA,28,2,0.67,andres-sanchez_genome_2013,
Asteraceae,Florestina,Florestina pedata,NA,NA,NA,NA,NA,
Asteraceae,Galinsoga,Galinsoga parviflora,NA,16,2,0.76,pustahija_small_2013,
Asteraceae,Helianthus,Helianthus annuus,line HA 412 H0,34,2,3.67,sanchez_genome_2014,
Asteraceae,Helichrysum,Helichrysum plicatum,NA,NA,NA,NA,NA,
Asteraceae,Heterosperma,Heterosperma pinnatum,NA,NA,NA,NA,NA,
Asteraceae,Hieracium,Hieracium pilosella,NA,18,2,3.89,siljak-yakovlev_towards_2010,
Asteraceae,Hieracium,Hieracium procerum,NA,NA,NA,NA,NA,
Asteraceae,Inula,Inula oculus-christi,NA,NA,NA,NA,NA,
Asteraceae,Inula,Inula vulgaris,NA,NA,NA,NA,NA,
Asteraceae,Jaegeria,Jaegeria hirta,NA,NA,NA,NA,NA,
Asteraceae,Koelpinia,Koelpinia linearis,NA,NA,NA,NA,NA,
Asteraceae,Lactuca,Lactuca serriola,NA,18,NA,2.66,garcia_new_2013,
Asteraceae,Laennecia,Laennecia sophiifolia,NA,NA,NA,NA,NA,
Asteraceae,Lagascea,Lagascea rigida,NA,NA,NA,NA,NA,
Asteraceae,Lapsana,Lapsana communis,NA,12,2,1.2,band_unpublished_1984,Band SR. (pers. comm. 1984).
Asteraceae,Leontodon,Leontodon asperrimus,NA,NA,NA,NA,NA,
Asteraceae,Leucanthemum,Leucanthemum vulgare,NA,NA,NA,NA,NA,
Asteraceae,Ligularia,Ligularia sagitta,NA,NA,NA,NA,NA,
Asteraceae,Ligularia,Ligularia virgaurea,NA,NA,NA,NA,NA,
Asteraceae,Melampodium,Melampodium longifolium,NA,NA,NA,NA,NA,
Asteraceae,Montanoa,Montanoa grandiflora,NA,NA,NA,NA,NA,
Asteraceae,Pectis,Pectis prostrata,NA,NA,NA,NA,NA,
Asteraceae,Picris,Picris echioides,NA,NA,NA,NA,NA,
Asteraceae,Piqueria,Piqueria trinervia,NA,NA,NA,NA,NA,
Asteraceae,Pittocaulon,Pittocaulon praecox,NA,NA,NA,NA,NA,
Asteraceae,Pseudognaphalium,Pseudognaphalium viscosum,NA,NA,NA,NA,NA,
Asteraceae,Roldana,Roldana lobata,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea glanduligera,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea globosa,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea graminifolia,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea hieracioides,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea medusa,NA,NA,NA,NA,NA,
Asteraceae,Saussurea,Saussurea nivea,NA,NA,NA,NA,NA,
Asteraceae,Schkuhria,Schkuhria pinnata,NA,NA,NA,NA,NA,
Asteraceae,Scorzonera,Scorzonera laciniata,NA,NA,NA,NA,NA,
Asteraceae,Senecio,Senecio mikanioides,NA,NA,NA,NA,NA,
Asteraceae,Senecio,Senecio petasitis,NA,NA,NA,NA,NA,
Asteraceae,Serratula,Serratula centauroides,NA,NA,NA,NA,NA,
Asteraceae,Serratula,Serratula quinquefolia,NA,NA,NA,NA,NA,
Asteraceae,Solidago,Solidago altissima,NA,NA,NA,NA,NA,
Asteraceae,Solidago,Solidago canadensis,subsp. canadensis,18,NA,0.98,garcia_new_2013,
Asteraceae,Solidago,Solidago gigantea,NA,NA,4,1.82,kubesova_naturalized_2010,
Asteraceae,Solidago,Solidago graminifolia,NA,NA,NA,0.88,sliwinska_genome_2007,
Asteraceae,Solidago,Solidago vigaurea,NA,NA,NA,NA,NA,
Asteraceae,Sonchus,Sonchus asper,NA,18,NA,0.69,garcia_new_2013,
Asteraceae,Stevia,Stevia origanoides,NA,NA,NA,NA,NA,
Asteraceae,Stevia,Stevia salicifolia,NA,NA,NA,NA,NA,
Asteraceae,Tagetes,Tagetes micrantha,NA,NA,NA,NA,NA,
Asteraceae,Tagetes,Tagetes tenuifolia,NA,NA,NA,NA,NA,
Asteraceae,Tanacetum,Tanacetum chiliophyllum,NA,NA,NA,NA,NA,
Asteraceae,Tanacetum,Tanacetum graminifolium,NA,NA,NA,NA,NA,
Asteraceae,Tanacetum,Tanacetum parthenium,NA,NA,NA,NA,NA,
Asteraceae,Taraxacum,Taraxacum mongolicum,NA,NA,NA,NA,NA,
Asteraceae,Taraxacum,Taraxacum officinale,NA,16,NA,1.28,vidic_selective_2009,diploid
Asteraceae,Tithonia,Tithonia tubaeformis,NA,NA,NA,NA,NA,
Asteraceae,Tragopogon,Tragopogon kemulariae,NA,NA,NA,NA,NA,
Asteraceae,Tragopogon,Tragopogon pterocarpus,NA,NA,NA,NA,NA,
Asteraceae,Tragopogon,Tragopogon reticulatus,NA,NA,NA,NA,NA,
Asteraceae,Verbesina,Verbesina virgata,NA,NA,NA,NA,NA,
Asteraceae,Wilkesia,Wilkesia gymnoxiphium,NA,NA,NA,NA,NA,
Asteraceae,Xeranthemum,Xeranthemum annuum,NA,12,2,1.07,garnatje_genome_2004,
Asteraceae,Zinnia,Zinnia peruviana,NA,NA,NA,NA,NA,
Balsaminaceae,Impatiens,Impatiens sultani,NA,NA,NA,NA,NA,
Begoniaceae,Begonia,Begonia coccinea,NA,NA,NA,0.56,gustafson_genome_2009,
Betulaceae,Alnus,Alnus rhombifolia,NA,NA,NA,NA,NA,
Betulaceae,Betula,Betula fruticosa,NA,NA,NA,NA,NA,
Betulaceae,Betula,Betula pendula,subsp. mandshurica (Reg.) Nakai,28,2,0.49,wang_molecular_2016,
Betulaceae,Carpinus,Carpinus betulus,NA,NA,NA,1.03,siljak-yakovlev_towards_2010,
Betulaceae,Corylus,Corylus avellana,NA,22,2,0.43,pustahija_small_2013,
Bignoniaceae,Handroanthus,Handroanthus impetiginosus,NA,40,2,0.51,collevatti_clues_2016,
Bignoniaceae,Jacaranda,Jacaranda mimosifolia,NA,36,2,0.58,collevatti_clues_2016,
Boraginaceae,Asperugo,Asperugo procumbens,NA,NA,NA,0.33,bou_dagher-harrat_nuclear_2013,
Boraginaceae,Buglossoides,Buglossoides arvensis,NA,NA,NA,NA,NA,
Boraginaceae,Heliotropium,Heliotropium ellipticum,NA,NA,NA,NA,NA,
Boraginaceae,Heliotropium,Heliotropium peruvianum,NA,NA,NA,NA,NA,
Boraginaceae,Lappula,Lappula barbata,NA,NA,NA,NA,NA,
Boraginaceae,Myosotis,Myosotis silvatica,NA,NA,NA,NA,NA,
Boraginaceae,Onosma,Onosma dichroanthum,NA,NA,NA,NA,NA,
Boraginaceae,Onosma,Onosma microcarpum,NA,NA,NA,NA,NA,
Boraginaceae,Symphytum,Symphytum asperum,NA,NA,NA,NA,NA,
Brassicaceae,Alliaria,Alliaria petiolata,NA,NA,NA,1.35,barow_endopolyploidy_2003,
Brassicaceae,Alyssum,Alyssum desertorum,NA,NA,NA,NA,NA,
Brassicaceae,Alyssum,Alyssum linifolium,NA,NA,NA,NA,NA,
Brassicaceae,Alyssum,Alyssum longistylum,NA,NA,NA,NA,NA,
Brassicaceae,Alyssum,Alyssum minutum,NA,NA,NA,NA,NA,
Brassicaceae,Alyssum,Alyssum sibiricum,NA,NA,NA,NA,NA,
Brassicaceae,Alyssum,Alyssum strigosum,NA,NA,NA,NA,NA,
Brassicaceae,Arabidopsis,Arabidopsis thaliana,ecotype Columbia,10,2,0.16,bennett_comparisons_2003,
Brassicaceae,Arabis,Arabis sagittata,NA,NA,NA,NA,NA,
Brassicaceae,Christolea,Christolea crassifolia,NA,14,2,1.41,lysak_dynamic_2008,
Brassicaceae,Clypeola,Clypeola jonthlaspi,NA,NA,NA,NA,NA,
Brassicaceae,Erysimum,Erysimum subulatum,NA,NA,NA,NA,NA,
Brassicaceae,Hesperis,Hesperis hyrcana,NA,NA,NA,NA,NA,
Brassicaceae,Neslia,Neslia apiculata,NA,NA,NA,NA,NA,
Brassicaceae,Rapistrum,Rapistrum rugosum,NA,NA,NA,NA,NA,
Brassicaceae,Sterigmostemum,Sterigmostemum contortuplicatum,NA,NA,NA,NA,NA,
Brassicaceae,Thlaspi,Thlaspi arvense,NA,14,2,0.52,lysak_dynamic_2008,
Brassicaceae,Turritis,Turritis glabra,NA,12,2,0.24,lysak_dynamic_2008,
Campanulaceae,Campanula,Campanula glomerata,NA,NA,NA,1.81,siljak-yakovlev_towards_2010,
Campanulaceae,Campanula,Campanula hohenackeri,NA,NA,NA,NA,NA,
Campanulaceae,Campanula,Campanula rapunculoides,NA,NA,NA,3.98,siljak-yakovlev_towards_2010,
Campanulaceae,Campanula,Campanula scheuchzeri,NA,NA,NA,NA,NA,
Campanulaceae,Campanula,Campanula stevenii,NA,NA,NA,NA,NA,
Campanulaceae,Phyteuma,Phyteuma orbiculare,NA,NA,NA,NA,NA,
Cannabaceae,Celtis,Celtis caucasica,NA,NA,NA,NA,NA,
Caprifoliaceae,Cephalaria,Cephalaria hirsuta,NA,NA,NA,NA,NA,
Caprifoliaceae,Knautia,Knautia dipsacifolia,NA,NA,NA,NA,NA,
Caprifoliaceae,Lonicera,Lonicera caucasica,NA,NA,NA,NA,NA,
Caprifoliaceae,Lonicera,Lonicera iberica,NA,NA,NA,NA,NA,
Caprifoliaceae,Scabiosa,Scabiosa amoena,NA,NA,NA,NA,NA,
Caprifoliaceae,Scabiosa,Scabiosa caucasica,NA,NA,NA,NA,NA,
Caprifoliaceae,Scabiosa,Scabiosa columbaria,NA,16,2,0.94,pustahija_small_2013,
Caprifoliaceae,Scabiosa,Scabiosa crinita,NA,NA,NA,NA,NA,
Caprifoliaceae,Scabiosa,Scabiosa olivieri,NA,NA,NA,NA,NA,
Caprifoliaceae,Scabiosa,Scabiosa persica,NA,NA,NA,NA,NA,
Caprifoliaceae,Valeriana,Valeriana montana,NA,32,4,1.3,hidalgo_genome_2010,
Caprifoliaceae,Valerianella,Valerianella dactylophylla,NA,NA,NA,3.59,bou_dagher-harrat_nuclear_2013,
Caprifoliaceae,Valerianella,Valerianella lasiocarpa,NA,NA,NA,NA,NA,
Caryophyllaceae,Arenaria,Arenaria dianthoides,NA,NA,NA,NA,NA,
Caryophyllaceae,Arenaria,Arenaria gypsophiloides,NA,NA,NA,NA,NA,
Caryophyllaceae,Arenaria,Arenaria serpyllifolia,NA,40,4,0.8,band_unpublished_1984,Band SR. (pers. comm. 1984).
Caryophyllaceae,Cerastium,Cerastium glomeratum,NA,NA,NA,NA,NA,
Caryophyllaceae,Cerastium,Cerastium holosteoides,NA,NA,NA,NA,NA,
Caryophyllaceae,Cerastium,Cerastium szowitsii,NA,NA,NA,NA,NA,
Caryophyllaceae,Dianthus,Dianthus cretaceus,NA,NA,NA,NA,NA,
Caryophyllaceae,Dianthus,Dianthus crinitus,NA,NA,NA,NA,NA,
Caryophyllaceae,Gypsophila,Gypsophila elegans,NA,NA,NA,NA,NA,
Caryophyllaceae,Herniaria,Herniaria hirsuta,NA,NA,NA,NA,NA,
Caryophyllaceae,Herniaria,Herniaria incana,NA,NA,NA,NA,NA,
Caryophyllaceae,Minuartia,Minuartia acuminata,NA,NA,NA,NA,NA,
Caryophyllaceae,Minuartia,Minuartia lineata,NA,NA,NA,NA,NA,
Caryophyllaceae,Minuartia,Minuartia recurva,NA,NA,NA,NA,NA,
Caryophyllaceae,Silene,Silene persica,NA,NA,NA,NA,NA,
Caryophyllaceae,Silene,Silene ruprechtii,NA,NA,NA,NA,NA,
Caryophyllaceae,Silene,Silene spergulifolia,NA,NA,NA,NA,NA,
Caryophyllaceae,Stellaria,Stellaria media,NA,42,7,1,bennett_nuclear_1972,
Celastraceae,Maytenus,Maytenus boaria,NA,NA,NA,NA,NA,
Celastraceae,Parnassia,Parnassia palustris,NA,NA,NA,1.18,siljak-yakovlev_towards_2010,
Cistaceae,Fumana,Fumana procumbens,NA,NA,NA,NA,NA,
Cistaceae,Helianthemum,Helianthemum ledifolium,NA,NA,NA,2.4,bou_dagher-harrat_nuclear_2013,
Cistaceae,Helianthemum,Helianthemum nummularium,NA,20,4,2.2,mowforth_variation_1985,
Cistaceae,Helianthemum,Helianthemum salicifolium,NA,NA,NA,NA,NA,
Commelinaceae,Tradescantia,Tradescantia zebrina,NA,NA,NA,18.05,zonneveld_first_2005,
Convolvulaceae,Convolvulus,Convolvulus arvensis,NA,24,NA,0.67,pustahija_small_2013,
Convolvulaceae,Convolvulus,Convolvulus cantabrica,NA,22,NA,1.11,pustahija_small_2013,
Convolvulaceae,Convolvulus,Convolvulus lineatus,NA,NA,NA,NA,NA,
Cornaceae,Cornus,Cornus australis,NA,NA,NA,NA,NA,
Cornaceae,Cornus,Cornus mas,NA,NA,NA,3.4,zonneveld_first_2005,
Crassulaceae,Sedum,Sedum album,NA,34,2,0.15,hart_evolution_1991,
Crassulaceae,Sedum,Sedum athoum,NA,NA,NA,NA,NA,
Crassulaceae,Sedum,Sedum micranthum,NA,NA,NA,NA,NA,
Crassulaceae,Sedum,Sedum serpentini,NA,NA,NA,NA,NA,
Crassulaceae,Sedum,Sedum spurium,NA,28,4,1.77,hart_biosystematic_1993,used tetraploid
Crassulaceae,Sedum,Sedum subulatum,NA,NA,NA,NA,NA,
Cucurbitaceae,Cucurbita,Cucurbita pepo,NA,40,4,0.54,arumuganathan_nuclear_1991,
Cyperaceae,Blysmus,Blysmus sinocompressus,NA,NA,NA,NA,NA,
Cyperaceae,Carex,Carex distans,NA,70,NA,0.37,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex divisa,NA,60,NA,0.34,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex divulsa,NA,58,NA,0.41,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex duriuscula,NA,NA,NA,NA,NA,
Cyperaceae,Carex,Carex halleriana,NA,54,NA,0.48,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex ivanoviae,NA,NA,NA,NA,NA,
Cyperaceae,Carex,Carex liparocarpos,NA,38,NA,0.53,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex moorcroftii,NA,NA,NA,NA,NA,
Cyperaceae,Carex,Carex nigra,NA,84,NA,0.4,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex pallescens,NA,64,NA,0.39,lipnerova_evolution_2013,
Cyperaceae,Carex,Carex pediformis,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia capillifolia,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia humilis,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia kansuensis,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia macrantha,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia pusilla,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia robusta,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia stolonifera,NA,NA,NA,NA,NA,
Cyperaceae,Kobresia,Kobresia tibetica,NA,NA,NA,NA,NA,
Cyperaceae,Schoenoplectus,Schoenoplectus triqueter,NA,NA,NA,NA,NA,
Elaeagnaceae,Hippophae,Hippophae tibetana,NA,NA,NA,NA,NA,
Ericaceae,Arbutus,Arbutus,NA,NA,NA,NA,NA,
Euphorbiaceae,Acalypha,Acalypha ciliata,NA,NA,NA,NA,NA,
Euphorbiaceae,Acalypha,Acalypha hispida,NA,NA,NA,NA,NA,
Euphorbiaceae,Acalypha,Acalypha wilkesiana,NA,NA,NA,NA,NA,
Euphorbiaceae,Baliospermum,Baliospermum montanum,NA,NA,NA,NA,NA,
Euphorbiaceae,Chrozophora,Chrozophora oblongifolia,NA,NA,NA,NA,NA,
Euphorbiaceae,Codiaeum,Codiaeum variegatum,NA,NA,NA,NA,NA,
Euphorbiaceae,Croton,Croton bonplandianus,NA,NA,NA,NA,NA,
Euphorbiaceae,Dalechampia,Dalechampia scandens,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia atrococca,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia caeladenia,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia celastroides var. amplectens,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia celastroides var. kaenana,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia celastroides var. lorifolia,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia celastroides var. stokesii,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia celastroides var. tomentella,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia cognata,NA,NA,NA,NA,NA,
Euphorbiaceae,Euphorbia,Euphorbia cornigera,NA,NA,NA,NA,NA,
